Fecha,Nueva York,París,Berlín,Londres,Madrid
31/01/2022,63,78,33,99,82
28/02/2022,78,34,76,57,86
31/03/2022,35,23,74,52,58
30/04/2022,33,75,90,88,65
31/05/2022,80,81,85,49,49
30/06/2022,83,80,91,83,87
31/07/2022,39,76,66,68,21
31/08/2022,58,92,84,81,92
30/09/2022,46,31,43,33,47
31/10/2022,67,87,56,28,82
30/11/2022,84,70,37,32,34
31/12/2022,25,44,85,82,96
31/01/2023,90,88,26,66,49
28/02/2023,86,37,55,83,51
31/03/2023,34,23,29,47,57
30/04/2023,52,83,27,65,48
31/05/2023,74,92,95,92,50
30/06/2023,43,94,58,46,98
31/07/2023,39,73,84,56,95
31/08/2023,73,41,30,58,48
30/09/2023,97,27,38,48,22
31/10/2023,52,76,49,34,56
30/11/2023,55,82,54,39,89
31/12/2023,88,20,27,51,56
